"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","female_mean_rpkm","male_mean_rpkm","female_xi_mean_srpm","female_xa_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"Gnl3l","ENSMUSG00000025266","MGP_CASTEiJ_G0035139","X","X",4.67785217845662,3.80079368713014,65.4712754859796,189.271064807057,120.650072134279,87.3480089305261,0.345912755088692,1,1,1
"Gpc3","ENSMUSG00000055653","MGP_CASTEiJ_G0034680","X","X",3.25072740216729,2.31247182070665,7.97345880075893,79.5597378063713,53.2002421773059,9.06451482997848,0.100219772219013,1,1,1
"Gpc4","ENSMUSG00000031119","MGP_CASTEiJ_G0034679","X","X",13.6807910412356,14.0049968192059,109.801967543055,252.303469946988,312.811192800429,57.7516822692332,0.435198008042164,1,1,1
"Gpkow","ENSMUSG00000031148","MGP_CASTEiJ_G0034502","X","X",36.0488878266308,32.7935801095226,180.309230594958,1017.2751541317,933.172516214609,155.126017147742,0.177247256912376,1,1,1
"Gpm6b","ENSMUSG00000031342","MGP_CASTEiJ_G0035221","X","X",4.4500777585593,5.24819118594243,61.3146855907861,187.721910255598,211.408660998957,82.3011189964824,0.326625088713946,1,1,1
"Gprasp1","ENSMUSG00000043384","MGP_CASTEiJ_G0035054","X","X",15.6911639791546,11.8205150615986,218.294435375573,1047.60963189028,819.97125688542,133.426541190802,0.208373833850391,1,1,1
"Gprasp2","ENSMUSG00000072966","MGP_CASTEiJ_G0035056","X","X",1.98482071009486,0.973435478143582,8.67351527966029,68.1454787440305,34.3376300414736,3.15874028174068,0.127279394605766,1,0,1
"Gripap1","ENSMUSG00000031153","MGP_CASTEiJ_G0034507","X","X",11.9822051207431,11.5463366078838,36.9185728677859,623.02102501604,578.260597905691,57.6487557654223,0.0592573466791677,1,1,1
"Gspt2","ENSMUSG00000071723","MGP_CASTEiJ_G0034877","X","X",1.25142117058287,0.785712505279378,6.34902568477835,40.96720877496,25.278458913435,4.42933091117833,0.154978234413154,1,0,1
"Haus7","ENSMUSG00000031371","MGP_CASTEiJ_G0034772","X","X",9.27473297168179,8.55752910287965,22.7460551508545,110.701534470791,100.465797823229,22.6612870749462,0.205471904789687,1,1,1
"Hccs","ENSMUSG00000031352","MGP_CASTEiJ_G0035235","X","X",8.4506402754895,7.27452204260425,33.5799302605399,402.414435974065,340.110524747984,35.193321698098,0.0834461372620938,1,1,1
"Hcfc1","ENSMUSG00000031386","MGP_CASTEiJ_G0034790","X","X",22.9010215747854,22.2836397304388,493.801128454147,1420.72427519791,1411.06354834631,451.848733118365,0.347569994456074,1,1,1
"Hdac6","ENSMUSG00000031161","MGP_CASTEiJ_G0034518","X","X",10.9100359641417,18.2547110490602,34.0119176030486,600.418367683808,1003.57383917641,57.9575352768551,0.0566470305268208,1,1,1
"Hmgb3","ENSMUSG00000015217","MGP_CASTEiJ_G0034749","X","X",80.6600532979591,89.2558469007657,7.57729738486783,719.675018258379,797.239890273177,6.21455405967047,0.0105287764513557,1,1,1
"Hmgn5","ENSMUSG00000031245","MGP_CASTEiJ_G0034984","X","X",17.6956533844301,14.6623081078282,47.6345571684253,294.599379286452,247.619758996916,35.9492798084812,0.161692659651221,1,1,1
"Hprt","ENSMUSG00000025630","MGP_CASTEiJ_G0034683","X","X",65.6842458120128,59.8192862615021,76.4334544339042,770.236474082941,706.795584070426,64.2750158403364,0.0992337509398103,1,1,1
"Hsd17b10","ENSMUSG00000025260","MGP_CASTEiJ_G0035146","X","X",80.3987526038142,85.5989079859259,145.093405758524,898.482403038985,967.003399495668,144.07042616165,0.161487198043909,1,1,1
"Htatsf1","ENSMUSG00000067873","MGP_CASTEiJ_G0034709","X","X",11.4240578675462,15.5361338755015,104.20028572371,454.108334480835,634.944666362432,124.362026360823,0.229461293289934,1,1,1
"Huwe1","ENSMUSG00000025261","MGP_CASTEiJ_G0035145","X","X",13.2867501762272,14.935904026787,323.033560908405,2799.44892461425,3175.5443612345,334.492691511302,0.115391839468162,1,1,1
"Idh3g","ENSMUSG00000002010","MGP_CASTEiJ_G0034782","X","X",47.6836218235181,52.3708320779282,37.1468545517623,1256.34476951339,1375.0899734677,45.5284271575141,0.0295674049458176,1,1,1
"Ids","ENSMUSG00000035847","MGP_CASTEiJ_G0034741","X","X",56.9124276445717,36.4856510689803,279.210469572872,2580.6838844896,1674.40196237575,158.696463444727,0.108192433506087,1,1,1
"Igbp1","ENSMUSG00000031221","MGP_CASTEiJ_G0034905","X","X",5.67360402637834,4.71708830365221,80.7400110977034,243.747770830292,208.669104599278,61.1162755585957,0.331244100500587,1,1,1
"Ikbkg","ENSMUSG00000004221","MGP_CASTEiJ_G0034809","X","X",9.04672801245928,7.44001129182684,193.166401772852,526.460304939207,449.103160424641,142.285203013158,0.366915415959344,1,1,1
"Iqsec2","ENSMUSG00000041115","MGP_CASTEiJ_G0035149","X","X",3.6079075944245,3.40621788364725,49.0884090161544,202.743541074676,193.29031874288,44.4636895356982,0.242120704590406,1,1,1
"Irak1","ENSMUSG00000031392","MGP_CASTEiJ_G0034791","X","X",13.657021168675,16.4925904567107,81.7926915730218,562.033973634508,664.957968195471,112.550477264348,0.145529799638432,1,1,1
"Itm2a","ENSMUSG00000031239","MGP_CASTEiJ_G0034977","X","X",4.14680128655136,3.80484279526783,5.36694863197409,66.722922001105,66.1281677817549,0,0.080436354868949,1,1,1
"Jade3","ENSMUSG00000037315","MGP_CASTEiJ_G0034569","X","X",11.5863096015159,18.8666455096769,86.5068711126265,512.95450402856,830.422735723724,145.752722806332,0.16864433479623,1,1,1
