"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Cldn34a","ENSMUSG00000091863","X","MGP_CASTEiJ_G0035153","X",0,0,0,0,0,0,0,0,0,0
"Cldn34b4","ENSMUSG00000073085","X","MGP_CASTEiJ_G0034835","X",0,0,0,0,0,0,0,0,0,0
"Cldn34c4","ENSMUSG00000043569","X","MGP_CASTEiJ_G0035016","X",0,0,0,0,0,0,0,0,0,0
"Cldn34d","ENSMUSG00000079525","X","MGP_CASTEiJ_G0034836","X",0,0,0,0,0,0,0,0,0,0
"Cmc4","ENSMUSG00000090110","X","MGP_CASTEiJ_G0034823","X",4,6,1,0,1,0,0,0,0,0
"Cnga2","ENSMUSG00000005864","X","MGP_CASTEiJ_G0034755","X",3,2,4,5,3,2,0,0,0,0
"Cnksr2","ENSMUSG00000025658","X","MGP_CASTEiJ_G0035179","X",0,0,0,0,0,0,0,0,0,0
"Col4a5","ENSMUSG00000031274","X","MGP_CASTEiJ_G0035111","X",399,534,247,264,273,38,77,43,26,29
"Col4a6","ENSMUSG00000031273","X","MGP_CASTEiJ_G0035110","X",83,118,31,33,45,13,15,1,4,3
"Cox7b","ENSMUSG00000031231","X","MGP_CASTEiJ_G0034964","X",3,3,8,3,5,0,0,0,0,1
"Cpxcr1","ENSMUSG00000072995","X","MGP_CASTEiJ_G0035005","X",0,0,0,0,0,0,0,0,0,0
"Cstf2","ENSMUSG00000031256","X","MGP_CASTEiJ_G0035024","X",15,26,20,28,22,0,0,0,0,0
"Ctag2","ENSMUSG00000031181","X","MGP_CASTEiJ_G0034731","X",0,0,0,0,0,0,0,0,0,0
"Ctps2","ENSMUSG00000031360","X","MGP_CASTEiJ_G0035201","X",194,225,157,222,274,19,30,20,18,29
"Cul4b","ENSMUSG00000031095","X","MGP_CASTEiJ_G0034630","X",7,10,7,29,42,37,28,20,7,12
"Cxcr3","ENSMUSG00000050232","X","MGP_CASTEiJ_G0034929","X",0,1,0,1,1,0,0,0,0,0
"Cybb","ENSMUSG00000015340","X","MGP_CASTEiJ_G0034535","X",0,1,0,0,0,0,2,0,0,0
"Cylc1","ENSMUSG00000073001","X","MGP_CASTEiJ_G0034988","X",0,0,0,0,0,0,0,0,0,0
"Cypt1","ENSMUSG00000023257","X","MGP_CASTEiJ_G0034556","X",0,0,0,0,0,0,0,0,0,0
"Cypt14","ENSMUSG00000095240","X","MGP_CASTEiJ_G0034635","X",0,0,0,0,0,0,0,0,0,0
"Cypt15","ENSMUSG00000079619","X","MGP_CASTEiJ_G0034634","X",0,0,0,0,0,0,0,0,0,0
"Cypt2","ENSMUSG00000090132","X","MGP_CASTEiJ_G0034959","X",0,0,0,0,0,0,0,0,0,0
"Cypt3","ENSMUSG00000048573","X","MGP_CASTEiJ_G0034960","X",0,0,0,0,0,0,0,0,0,0
"Cysltr1","ENSMUSG00000052821","X","MGP_CASTEiJ_G0034970","X",0,0,0,0,0,0,0,0,0,0
"Dach2","ENSMUSG00000025592","X","MGP_CASTEiJ_G0035001","X",0,0,0,0,0,0,0,0,0,0
"Dcaf12l1","ENSMUSG00000045284","X","MGP_CASTEiJ_G0034645","X",1,0,0,0,0,3,1,0,0,0
"Dcaf12l2","ENSMUSG00000050926","X","MGP_CASTEiJ_G0034644","X",0,0,0,0,0,0,0,0,0,0
"Dcx","ENSMUSG00000031285","X","MGP_CASTEiJ_G0035124","X",0,0,0,1,2,0,0,0,0,0
"Ddx3x","ENSMUSG00000000787","X","MGP_CASTEiJ_G0034550","X",3670,3876,2818,4433,4947,328,418,464,99,120
"Dgat2l6","ENSMUSG00000067597","X","MGP_CASTEiJ_G0034906","X",0,0,0,0,1,0,0,0,0,0
"Dgkk","ENSMUSG00000062393","X","MGP_CASTEiJ_G0034488","X",0,0,1,0,0,0,0,0,0,0
"Diaph2","ENSMUSG00000034480","X","MGP_CASTEiJ_G0035018","X",29,37,37,83,85,94,94,111,38,33
"Dkc1","ENSMUSG00000031403","X","MGP_CASTEiJ_G0034818","X",44,59,49,74,65,4,7,1,2,5
"Dlg3","ENSMUSG00000000881","X","MGP_CASTEiJ_G0034913","X",134,162,100,123,125,153,161,177,154,171
