name,chr,Samp1_B6,Samp2_B6,Samp3_B6,Samp4_B6,Samp5_B6,Samp1_Cas,Samp2_Cas,Samp3_Cas,Samp4_Cas,Samp5_Cas
6344,Fam122b,X,3.70048291302015,4.13224314428579,6.80583123620318,2.37887306967666,3.18594107920568,0.343864646622338,0.608500323570047,0.657735279308931,0.947640044614893,0
6345,Fam122c,X,0,0,0,0,0,0,0,0,0,0
6405,Fam199x,X,40.9899645749924,29.1839672065184,38.8332723477476,25.9032845364792,23.7720218986885,8.59661616555845,8.21475436819564,10.1948968292884,8.84464041640567,10.0400124023683
6438,Fam3a,X,43.5518373609294,47.0042657662509,46.039446597845,52.3352075328866,61.5131700677405,15.4739090980052,20.3847608395966,15.7856467034143,5.68584026768936,2.36235585938077
6443,Fam47c,X,0,0,0,0,0,0,0,0,0,0
6445,Fam50a,X,6.54700823072796,9.03928187812517,8.4072032917804,7.66525766895814,7.10709933053575,52.95515557984,52.9395281505941,40.1218520378448,45.8026021563865,49.3141785645735
6475,Fam90a1b,X,0,0,0,0,0,0,0,0,0,0.295294482422596
6482,Fancb,X,3.70048291302015,3.87397794776793,4.80411616673166,7.92957689892221,9.31275084690891,3.09478181960104,1.82550097071014,1.31547055861786,1.57940007435816,3.24823930664855
6514,Fate1,X,0.284652531770781,0,0,0.528638459928147,0.490144781416259,0,0,0,0,0.590588964845192
6645,Fgd1,X,1.4232626588539,3.09918235821434,4.80411616673166,2.90751152960481,4.90144781416259,1.03159393986701,0.304250161785024,0,0.947640044614893,0
6654,Fgf13,X,0,0,0,0,0,0,0,0,0,0
6657,Fgf16,X,0,0,0,0,0,0,0,0,0,0
6693,Fhl1,X,19.9256772239547,31.766619171697,14.0120054863007,3.17183075956889,4.1662306420382,4.81410505271273,5.78075307391545,2.95980875689019,2.52704011897305,1.77176689453558
6738,Flna,X,321.088055837441,333.678633901078,379.124834157906,479.210763924866,427.896394176394,58.4569899257974,65.109534621995,64.4580573722752,64.4395230338127,65.8506695802389
6765,Fmr1,X,43.8364898927002,40.8059010498222,63.6545392091944,42.0267575642877,44.8482474995877,10.6598040452925,12.778506794971,15.1279114241054,8.84464041640567,16.2411965332428
6766,Fmr1nb,X,0,0,0,0,0.245072390708129,0,0,0,0,0
6828,Foxo4,X,50.668150655199,64.0497687364298,58.0497370146742,59.7361459718807,67.8850522261518,6.18956363920208,7.91050420641061,3.94641167585358,10.4240404907638,6.79177309571971
6833,Foxp3,X,0,1.29132598258931,1.20102904168291,0,0.490144781416259,1.37545858648935,0,0,0,0
6837,Foxr2,X,0,0,0,0,0,0,0,0,0,0
6862,Frmpd3,X,0,0,0,0,0,0,0,0,0,0
6863,Frmpd4,X,0,0,0,0,0,0,0,0,0,0
6890,Fthl17a,X,0,0,0,0,0,0,0,0,0,0
6894,Ftsj1,X,48.6755829328035,50.1034481244652,52.4449348201539,39.1192460346829,40.6820168575495,8.94048081218079,7.30200388284057,9.53716154997949,6.63348031230425,7.97295102541009
6896,Ftx,X,11.9554063343728,9.29754707464303,13.6116624724064,8.19389612888629,13.233909098239,7.56502222569143,5.1722527503454,5.26188223447145,1.26352005948652,4.72471171876154
