gene_id	gene_name	chromosome	count
MGP_CASTEiJ_G0014354		X	0
MGP_CASTEiJ_G0035177	Smpx	X	0
MGP_CASTEiJ_G0004615	Gm15169	X	0
MGP_CASTEiJ_G0035178	Klhl34	X	0
MGP_CASTEiJ_G0035179	Cnksr2	X	0
MGP_CASTEiJ_G0035180		X	0
MGP_CASTEiJ_G0014355		X	0
MGP_CASTEiJ_G0014356		X	0
MGP_CASTEiJ_G0014357		X	0
MGP_CASTEiJ_G0038387	Gm22522	X	0
MGP_CASTEiJ_G0014358		X	0
MGP_CASTEiJ_G0014359		X	0
MGP_CASTEiJ_G0008995	Mir221	X	0
MGP_CASTEiJ_G0008996	Mir222	X	0
MGP_CASTEiJ_G0014360		X	0
MGP_CASTEiJ_G0039381		X	0
MGP_CASTEiJ_G0014361		X	0
MGP_CASTEiJ_G0015087	Gm14636	X	1
MGP_CASTEiJ_G0035181	Rps6ka3	X	140
MGP_CASTEiJ_G0035182	Eif1ax	X	47
MGP_CASTEiJ_G0014362		X	0
MGP_CASTEiJ_G0035183	Map7d2	X	0
MGP_CASTEiJ_G0035635	Gm23806	X	0
MGP_CASTEiJ_G0035184	A830080D01Rik	X	13
MGP_CASTEiJ_G0014363		X	0
MGP_CASTEiJ_G0035185	Sh3kbp1	X	1
MGP_CASTEiJ_G0035186	Map3k15	X	0
MGP_CASTEiJ_G0014364		X	0
MGP_CASTEiJ_G0014365		X	0
MGP_CASTEiJ_G0035187	Pdha1	X	50
MGP_CASTEiJ_G0014366		X	0
MGP_CASTEiJ_G0039382		X	0
MGP_CASTEiJ_G0014367		X	0
MGP_CASTEiJ_G0014368		X	0
MGP_CASTEiJ_G0035188	Adgrg2	X	0
MGP_CASTEiJ_G0004616	Gm15241	X	0
MGP_CASTEiJ_G0035189	Phka2	X	4
MGP_CASTEiJ_G0004617	Gm15243	X	0
MGP_CASTEiJ_G0035190	Ppef1	X	0
MGP_CASTEiJ_G0014369		X	0
MGP_CASTEiJ_G0014370		X	0
MGP_CASTEiJ_G0035191	Rs1	X	0
MGP_CASTEiJ_G0035192	Cdkl5	X	11
MGP_CASTEiJ_G0035193	Gja6	X	0
MGP_CASTEiJ_G0037088	Gm22783	X	0
MGP_CASTEiJ_G0035194	Scml2	X	0
MGP_CASTEiJ_G0014371		X	0
MGP_CASTEiJ_G0013771		X	0
MGP_CASTEiJ_G0014372		X	0
MGP_CASTEiJ_G0035195	Rai2	X	0
MGP_CASTEiJ_G0007394	Scml1	X	0
MGP_CASTEiJ_G0007395	Gm15205	X	0
MGP_CASTEiJ_G0035196	Nhs	X	0
MGP_CASTEiJ_G0004618	Gm15202	X	0
MGP_CASTEiJ_G0037149	Gm23794	X	0
MGP_CASTEiJ_G0035636	Gm27490	X	0
MGP_CASTEiJ_G0009639	Gm23867	X	0
MGP_CASTEiJ_G0035197	Reps2	X	31
MGP_CASTEiJ_G0014373		X	0
MGP_CASTEiJ_G0014374		X	0
MGP_CASTEiJ_G0009640	Gm22257	X	0
MGP_CASTEiJ_G0009641	Gm25557	X	0
MGP_CASTEiJ_G0015114	Gm15201	X	0
MGP_CASTEiJ_G0038388	Gm23786	X	0
MGP_CASTEiJ_G0038389	Gm23786	X	0
MGP_CASTEiJ_G0035198	Rbbp7	X	115
MGP_CASTEiJ_G0035199	Txlng	X	54
MGP_CASTEiJ_G0014375		X	0
MGP_CASTEiJ_G0014376		X	0
MGP_CASTEiJ_G0014377		X	0
MGP_CASTEiJ_G0037150		X	0
MGP_CASTEiJ_G0035200	Syap1	X	32
MGP_CASTEiJ_G0014378		X	0
MGP_CASTEiJ_G0035201	Ctps2	X	18
MGP_CASTEiJ_G0035202	S100g	X	237
MGP_CASTEiJ_G0009642	Gm23501	X	0
MGP_CASTEiJ_G0037151	Gm22746	X	0
MGP_CASTEiJ_G0014379		X	0
MGP_CASTEiJ_G0014380		X	0
MGP_CASTEiJ_G0014381		X	0
MGP_CASTEiJ_G0037152	Gm26007	X	0
